Date,emissions_intensity_gco2_per_kwh
01/08/2013,318.61
01/09/2013,333.89
01/10/2013,332.83
01/11/2013,345.89
01/12/2013,359.68
01/01/2014,350.02
01/02/2014,358.28
01/03/2014,321.25
01/04/2014,287.18
01/05/2014,265.96
01/06/2014,261.85
01/07/2014,302.56
01/08/2014,317.63
01/09/2014,335.93
01/10/2014,352.23
01/11/2014,322.06
01/12/2014,333.39
01/01/2015,338.42
01/02/2015,294.78
01/03/2015,290.71
01/04/2015,275.24
01/05/2015,257.85
01/06/2015,290.53
01/07/2015,299.92
01/08/2015,307.05
01/09/2015,330.86
01/10/2015,351.31
01/11/2015,323.85
01/12/2015,319.85
01/01/2016,317.98
01/02/2016,280.92
01/03/2016,214.51
01/04/2016,207.49
01/05/2016,210.3
01/06/2016,243.6
01/07/2016,255.38
01/08/2016,264.53
01/09/2016,273.25
01/10/2016,285.97
01/11/2016,272.17
01/12/2016,275.92
01/01/2017,247.62
01/02/2017,223.2
01/03/2017,178.46
01/04/2017,165.91
01/05/2017,175.55
01/06/2017,207.13
01/07/2017,235.59
01/08/2017,254.34
01/09/2017,251.78
01/10/2017,261.86
01/11/2017,271.04
01/12/2017,280.01
01/01/2018,273.08
01/02/2018,260.51
01/03/2018,245.24
01/04/2018,183.29
01/05/2018,163.05
01/06/2018,193.27
01/07/2018,258.83
01/08/2018,253.67
01/09/2018,239.25
01/10/2018,272.3
01/11/2018,282.88
01/12/2018,288.32
01/01/2019,278
01/02/2019,258.32
01/03/2019,201.08
01/04/2019,154.06
01/05/2019,140.01
01/06/2019,162.28
01/07/2019,208.29
01/08/2019,231.23
01/09/2019,240.45
01/10/2019,266.06
01/11/2019,301.22
01/12/2019,299.82
01/01/2020,258.09
01/02/2020,244.07
01/03/2020,240.35
01/04/2020,185.85
01/05/2020,165.49
01/06/2020,195.38
01/07/2020,229.48
01/08/2020,262.02
01/09/2020,271.28
01/10/2020,302
01/11/2020,286.66
01/12/2020,307.54
01/01/2021,275.42
01/02/2021,253.2
01/03/2021,235.78
01/04/2021,207.6
01/05/2021,195.11
01/06/2021,230.65
01/07/2021,267.56
01/08/2021,258.8
01/09/2021,252.55
01/10/2021,269.78
01/11/2021,264.77
01/12/2021,281.46
01/01/2022,259.93
01/02/2022,232.6
01/03/2022,197.95
01/04/2022,195.15
01/05/2022,169.84
01/06/2022,201.8
01/07/2022,227.64
01/08/2022,256.39
01/09/2022,262.79
01/10/2022,270.88
01/11/2022,280.64
01/12/2022,287.76
01/01/2023,249.03
01/02/2023,237.55
01/03/2023,207.4
01/04/2023,170.92
01/05/2023,130.7
01/06/2023,149.78
01/07/2023,229.25
01/08/2023,236.04
01/09/2023,205.83
01/10/2023,249.36
01/11/2023,259.39
01/12/2023,273.67
01/01/2024,269.22
01/02/2024,210.55
01/03/2024,158.74
01/04/2024,145.24
01/05/2024,126.88
01/06/2024,155.86
01/07/2024,220.38
01/08/2024,206.75
