zip,year,ev_stock,total_stock
90684,2016,9,16920
90675,2016,33,16920
90744,2016,1,16920
90732,2016,1,16920
90747,2016,3,16920
90027,2016,20,16920
90741,2016,1,16920
90438,2017,68,16920
90192,2017,171,16920
90225,2017,36,16920
90045,2017,48,16920
90579,2017,159,16920
90471,2017,174,16920
90222,2017,27,16920
90681,2017,15,16920
90699,2017,66,16920
90597,2017,62,16920
90030,2017,77,16920
90243,2017,32,16920
90078,2017,103,16920
90474,2017,73,16920
90318,2017,89,16920
90519,2017,72,16920
90282,2017,24,16920
90327,2017,12,16920
90156,2017,248,16920
90480,2017,47,16920
90576,2017,326,16920
90141,2017,197,16920
90429,2017,99,16920
90522,2017,173,16920
90615,2017,184,16920
90525,2017,187,16920
90075,2017,58,16920
90015,2017,48,16920
90633,2017,46,16920
90642,2017,93,16920
90468,2017,183,16920
90330,2017,50,16920
90501,2017,23,16920
90420,2017,107,16920
90201,2017,53,16920
90528,2017,231,16920
90084,2017,48,16920
90051,2017,81,16920
90702,2017,41,16920
90456,2017,107,16920
90060,2017,21,16920
90462,2017,68,16920
90339,2017,29,16920
90393,2017,14,16920
90207,2017,64,16920
90087,2017,18,16920
90531,2017,25,16920
90360,2017,188,16920
90363,2017,160,16920
90387,2017,18,16920
90036,2017,85,16920
90645,2017,23,16920
90591,2017,184,16920
90165,2017,312,16920
90435,2017,226,16920
90366,2017,26,16920
90534,2017,398,16920
90654,2017,27,16920
90297,2017,52,16920
90660,2017,3,16920
90336,2017,56,16920
90609,2017,162,16920
90177,2017,282,16920
90303,2017,101,16920
90048,2017,162,16920
90459,2017,68,16920
90120,2017,17,16920
90651,2017,31,16920
90600,2017,150,16920
90144,2017,61,16920
90063,2017,120,16920
90108,2017,82,16920
90537,2017,43,16920
90198,2017,98,16920
90540,2017,211,16920
90111,2017,250,16920
90171,2017,278,16920
90312,2017,54,16920
90411,2017,88,16920
90135,2017,41,16920
90180,2017,103,16920
90072,2017,95,16920
90483,2017,25,16920
90369,2017,40,16920
90372,2017,43,16920
90582,2017,47,16920
90627,2017,151,16920
90495,2017,42,16920
90117,2017,74,16920
90033,2017,83,16920
90639,2017,137,16920
90417,2017,61,16920
90375,2017,61,16920
90543,2017,164,16920
90288,2017,14,16920
90546,2017,117,16920
90549,2017,327,16920
90066,2017,48,16920
90672,2017,107,16920
90105,2017,30,16920
90324,2017,163,16920
90405,2017,45,16920
90606,2017,237,16920
90054,2017,43,16920
90213,2017,47,16920
90252,2017,36,16920
90636,2017,75,16920
90219,2017,29,16920
90210,2017,129,16920
90612,2017,129,16920
90492,2017,39,16920
90585,2017,295,16920
90102,2017,41,16920
90114,2017,88,16920
90126,2017,22,16920
90204,2017,62,16920
90552,2017,72,16920
90132,2017,143,16920
90159,2017,45,16920
90414,2017,26,16920
90465,2017,211,16920
90666,2017,24,16920
90390,2017,115,16920
90321,2017,70,16920
90306,2017,55,16920
90162,2017,76,16920
90168,2017,115,16920
90183,2017,123,16920
90555,2017,110,16920
90648,2017,30,16920
90216,2017,17,16920
90630,2017,193,16920
90657,2017,88,16920
90408,2017,191,16920
90558,2017,284,16920
90129,2017,198,16920
90396,2017,92,16920
90186,2017,564,16920
90138,2017,16,16920
90444,2017,260,16920
90486,2017,109,16920
90561,2017,70,16920
90099,2017,38,16920
90123,2017,108,16920
90147,2017,228,16920
90174,2017,15,16920
90564,2017,332,16920
90624,2017,107,16920
90039,2017,235,16920
90453,2017,296,16920
90294,2017,34,16920
90285,2017,60,16920
90567,2017,107,16920
90195,2017,85,16920
90315,2017,124,16920
90441,2017,217,16920
90090,2017,327,16920
90402,2017,60,16920
90603,2017,179,16920
90345,2017,38,16920
90477,2017,95,16920
90378,2017,116,16920
90300,2017,95,16920
90153,2017,864,16920
90663,2017,23,16920
90399,2017,225,16920
90150,2017,38,16920
90381,2017,186,16920
90042,2017,48,16920
90333,2017,13,16920
90570,2017,433,16920
90309,2017,336,16920
90291,2017,86,16920
90705,2017,10,16920
90708,2017,34,16920
90069,2017,101,16920
90594,2017,93,16920
90426,2017,104,16920
90669,2017,25,16920
90573,2017,65,16920
90189,2017,69,16920
90618,2017,47,16920
90384,2017,27,16920
90081,2017,106,16920
90450,2017,244,16920
90447,2017,292,16920
90057,2017,148,16920
90246,2017,26,16920
90009,2017,20,16920
90588,2017,41,16920
90696,2017,10,16920
90255,2017,10,16920
90432,2017,324,16920
90720,2017,95,16920
90249,2017,7,16920
90678,2017,85,16920
90003,2017,20,16920
90006,2017,33,16920
90711,2017,21,16920
90273,2017,20,16920
90279,2017,32,16920
90240,2017,15,16920
90270,2017,9,16920
90714,2017,0,16920
90267,2017,13,16920
90258,2017,151,16920
90348,2017,3,16920
90687,2017,40,16920
90021,2017,57,16920
90507,2017,11,16920
90516,2017,19,16920
90012,2017,47,16920
90513,2017,18,16920
90018,2017,69,16920
90510,2017,22,16920
90276,2017,13,16920
90234,2017,43,16920
90738,2017,12,16920
90093,2017,18,16920
90231,2017,14,16920
90342,2017,60,16920
90498,2017,36,16920
90723,2017,19,16920
90024,2017,18,16920
90264,2017,16,16920
90423,2017,235,16920
90693,2017,15,16920
90096,2017,150,16920
90354,2017,8,16920
90351,2017,26,16920
90729,2017,24,16920
90261,2017,44,16920
90489,2017,168,16920
90000,2017,17,16920
90621,2017,117,16920
90228,2017,32,16920
90726,2017,11,16920
90237,2017,10,16920
90690,2017,16,16920
90717,2017,17,16920
90357,2017,12,16920
90735,2017,27,16920
90504,2017,25,16920
90684,2017,19,16920
90675,2017,32,16920
90744,2017,1,16920
90732,2017,7,16920
90747,2017,1,16920
90027,2017,18,16920
90741,2017,2,16920
90438,2018,97,16920
90192,2018,260,16920
90225,2018,31,16920
90045,2018,74,16920
90579,2018,224,16920
90471,2018,251,16920
90222,2018,36,16920
90681,2018,20,16920
90699,2018,105,16920
90597,2018,83,16920
90030,2018,101,16920
90243,2018,38,16920
90078,2018,117,16920
90474,2018,93,16920
90318,2018,130,16920
90519,2018,126,16920
90282,2018,45,16920
90327,2018,25,16920
90156,2018,355,16920
90480,2018,55,16920
90576,2018,486,16920
90141,2018,312,16920
90429,2018,168,16920
90522,2018,228,16920
90615,2018,266,16920
90525,2018,306,16920
90075,2018,75,16920
90015,2018,60,16920
90633,2018,82,16920
90642,2018,142,16920
90468,2018,212,16920
90330,2018,88,16920
90501,2018,19,16920
90420,2018,143,16920
90201,2018,67,16920
90528,2018,443,16920
90084,2018,61,16920
90051,2018,112,16920
90702,2018,41,16920
90456,2018,137,16920
90060,2018,28,16920
90462,2018,78,16920
90339,2018,30,16920
90393,2018,13,16920
90207,2018,124,16920
90087,2018,33,16920
90531,2018,33,16920
90360,2018,258,16920
90363,2018,213,16920
90387,2018,21,16920
90036,2018,78,16920
90645,2018,32,16920
90591,2018,295,16920
90165,2018,461,16920
90435,2018,328,16920
90366,2018,18,16920
90534,2018,552,16920
90654,2018,25,16920
90297,2018,76,16920
90660,2018,15,16920
90336,2018,91,16920
90609,2018,234,16920
90177,2018,448,16920
90303,2018,158,16920
90048,2018,215,16920
90459,2018,99,16920
90120,2018,12,16920
90651,2018,35,16920
90600,2018,171,16920
90144,2018,77,16920
90063,2018,166,16920
90108,2018,111,16920
90537,2018,48,16920
90198,2018,140,16920
90540,2018,297,16920
90111,2018,390,16920
90171,2018,422,16920
90312,2018,73,16920
90411,2018,127,16920
90135,2018,47,16920
90180,2018,173,16920
90072,2018,110,16920
90483,2018,35,16920
90369,2018,43,16920
90372,2018,51,16920
90582,2018,70,16920
90627,2018,229,16920
90495,2018,66,16920
90117,2018,124,16920
90033,2018,115,16920
90639,2018,164,16920
90417,2018,81,16920
90375,2018,73,16920
90543,2018,217,16920
90288,2018,24,16920
90546,2018,164,16920
90549,2018,555,16920
90066,2018,56,16920
90672,2018,129,16920
90105,2018,28,16920
90324,2018,224,16920
90405,2018,58,16920
90606,2018,331,16920
90054,2018,56,16920
90213,2018,54,16920
90252,2018,62,16920
90636,2018,95,16920
90219,2018,50,16920
90210,2018,150,16920
90612,2018,225,16920
90492,2018,54,16920
90585,2018,399,16920
90102,2018,55,16920
90114,2018,98,16920
90126,2018,26,16920
90204,2018,93,16920
90552,2018,93,16920
90132,2018,197,16920
90159,2018,62,16920
90414,2018,41,16920
90465,2018,327,16920
90666,2018,38,16920
90390,2018,121,16920
90321,2018,89,16920
90306,2018,85,16920
90162,2018,127,16920
90168,2018,130,16920
90183,2018,134,16920
90555,2018,163,16920
90648,2018,37,16920
90216,2018,21,16920
90630,2018,309,16920
90657,2018,117,16920
90408,2018,306,16920
90558,2018,476,16920
90129,2018,330,16920
90396,2018,125,16920
90186,2018,891,16920
90138,2018,31,16920
90444,2018,375,16920
90486,2018,160,16920
90561,2018,85,16920
90099,2018,43,16920
90123,2018,135,16920
90147,2018,290,16920
90174,2018,25,16920
90564,2018,504,16920
90624,2018,157,16920
90039,2018,396,16920
90453,2018,425,16920
90294,2018,40,16920
90285,2018,66,16920
90567,2018,140,16920
90195,2018,145,16920
90315,2018,174,16920
90441,2018,380,16920
90090,2018,500,16920
90402,2018,86,16920
90603,2018,262,16920
90345,2018,45,16920
90477,2018,158,16920
90378,2018,172,16920
90300,2018,164,16920
90153,2018,1426,16920
90663,2018,26,16920
90399,2018,325,16920
90150,2018,44,16920
90381,2018,267,16920
90042,2018,71,16920
90333,2018,18,16920
90570,2018,647,16920
90309,2018,546,16920
90291,2018,106,16920
90705,2018,10,16920
90708,2018,41,16920
90069,2018,138,16920
90594,2018,168,16920
90426,2018,109,16920
90669,2018,19,16920
90573,2018,104,16920
90189,2018,92,16920
90618,2018,63,16920
90384,2018,26,16920
90081,2018,153,16920
90450,2018,362,16920
90447,2018,473,16920
90057,2018,188,16920
90246,2018,37,16920
90009,2018,25,16920
90588,2018,48,16920
90696,2018,4,16920
90255,2018,12,16920
90432,2018,459,16920
90720,2018,82,16920
90249,2018,5,16920
90678,2018,112,16920
90003,2018,10,16920
90006,2018,53,16920
90711,2018,26,16920
90273,2018,26,16920
90279,2018,34,16920
90240,2018,17,16920
90270,2018,9,16920
90714,2018,0,16920
90267,2018,11,16920
90258,2018,207,16920
90348,2018,2,16920
90687,2018,43,16920
90021,2018,61,16920
90507,2018,6,16920
90516,2018,10,16920
90012,2018,51,16920
90513,2018,15,16920
90018,2018,92,16920
90510,2018,18,16920
90276,2018,14,16920
90234,2018,77,16920
90738,2018,5,16920
90093,2018,25,16920
90231,2018,15,16920
90342,2018,64,16920
90498,2018,41,16920
90723,2018,14,16920
90024,2018,19,16920
90264,2018,18,16920
90423,2018,331,16920
90693,2018,15,16920
90096,2018,209,16920
90354,2018,8,16920
90351,2018,16,16920
90729,2018,37,16920
90261,2018,52,16920
90489,2018,268,16920
90000,2018,28,16920
90621,2018,169,16920
90228,2018,38,16920
90726,2018,12,16920
90237,2018,26,16920
90690,2018,6,16920
90717,2018,11,16920
90357,2018,16,16920
90735,2018,28,16920
90504,2018,20,16920
90684,2018,26,16920
90675,2018,39,16920
90744,2018,0,16920
90732,2018,6,16920
90747,2018,4,16920
90027,2018,19,16920
90741,2018,0,16920
90438,2019,110,16920
90192,2019,383,16920
90225,2019,33,16920
90045,2019,103,16920
90579,2019,315,16920
90471,2019,327,16920
90222,2019,42,16920
90681,2019,22,16920
90699,2019,116,16920
90597,2019,92,16920
90030,2019,119,16920
90243,2019,32,16920
90078,2019,157,16920
90474,2019,110,16920
90318,2019,170,16920
90519,2019,154,16920
90282,2019,36,16920
90327,2019,31,16920
90156,2019,507,16920
90480,2019,85,16920
90576,2019,643,16920
90141,2019,412,16920
90429,2019,192,16920
90522,2019,304,16920
90615,2019,393,16920
90525,2019,445,16920
90075,2019,48,16920
90015,2019,80,16920
90633,2019,93,16920
90642,2019,153,16920
90468,2019,305,16920
90330,2019,99,16920
90501,2019,24,16920
90420,2019,168,16920
90201,2019,87,16920
90528,2019,567,16920
90084,2019,53,16920
90051,2019,137,16920
90702,2019,50,16920
90456,2019,170,16920
90060,2019,23,16920
90462,2019,74,16920
90339,2019,17,16920
90393,2019,12,16920
90207,2019,118,16920
90087,2019,21,16920
90531,2019,46,16920
90360,2019,340,16920
90363,2019,289,16920
90387,2019,20,16920
90036,2019,97,16920
90645,2019,36,16920
90591,2019,425,16920
90165,2019,695,16920
90435,2019,446,16920
90366,2019,26,16920
90534,2019,817,16920
90654,2019,38,16920
90297,2019,101,16920
90660,2019,16,16920
90336,2019,113,16920
90609,2019,308,16920
90177,2019,534,16920
90303,2019,203,16920
90048,2019,292,16920
90459,2019,103,16920
90120,2019,9,16920
90651,2019,43,16920
90600,2019,230,16920
90144,2019,111,16920
90063,2019,198,16920
90108,2019,149,16920
90537,2019,53,16920
90198,2019,177,16920
90540,2019,417,16920
90111,2019,536,16920
90171,2019,596,16920
90312,2019,93,16920
90411,2019,168,16920
90135,2019,55,16920
90180,2019,226,16920
90072,2019,135,16920
90483,2019,38,16920
90369,2019,40,16920
90372,2019,71,16920
90582,2019,114,16920
90627,2019,283,16920
90495,2019,71,16920
90117,2019,157,16920
90033,2019,127,16920
90639,2019,204,16920
90417,2019,114,16920
90375,2019,92,16920
90543,2019,251,16920
90288,2019,37,16920
90546,2019,213,16920
90549,2019,677,16920
90066,2019,86,16920
90672,2019,166,16920
90105,2019,48,16920
90324,2019,283,16920
90405,2019,56,16920
90606,2019,481,16920
90054,2019,64,16920
90213,2019,62,16920
90252,2019,59,16920
90636,2019,130,16920
90219,2019,59,16920
90210,2019,209,16920
90612,2019,276,16920
90492,2019,62,16920
90585,2019,527,16920
90102,2019,55,16920
90114,2019,119,16920
90126,2019,32,16920
90204,2019,96,16920
90552,2019,130,16920
90132,2019,258,16920
90159,2019,67,16920
90414,2019,43,16920
90465,2019,450,16920
90666,2019,36,16920
90390,2019,155,16920
90321,2019,119,16920
90306,2019,107,16920
90162,2019,175,16920
90168,2019,193,16920
90183,2019,165,16920
90555,2019,219,16920
90648,2019,40,16920
90216,2019,25,16920
90630,2019,421,16920
90657,2019,177,16920
90408,2019,361,16920
90558,2019,688,16920
90129,2019,364,16920
90396,2019,156,16920
90186,2019,1371,16920
90138,2019,27,16920
90444,2019,502,16920
90486,2019,207,16920
90561,2019,112,16920
90099,2019,52,16920
90123,2019,164,16920
90147,2019,361,16920
90174,2019,22,16920
90564,2019,770,16920
90624,2019,210,16920
90039,2019,550,16920
90453,2019,583,16920
90294,2019,49,16920
90285,2019,71,16920
90567,2019,168,16920
90195,2019,182,16920
90315,2019,233,16920
90441,2019,475,16920
90090,2019,617,16920
90402,2019,87,16920
90603,2019,377,16920
90345,2019,52,16920
90477,2019,181,16920
90378,2019,225,16920
90300,2019,240,16920
90153,2019,2191,16920
90663,2019,24,16920
90399,2019,397,16920
90150,2019,65,16920
90381,2019,357,16920
90042,2019,105,16920
90333,2019,25,16920
90570,2019,905,16920
90309,2019,738,16920
90291,2019,147,16920
90705,2019,30,16920
90708,2019,52,16920
90069,2019,160,16920
90594,2019,225,16920
90426,2019,133,16920
90669,2019,30,16920
90573,2019,107,16920
90189,2019,122,16920
90618,2019,82,16920
90384,2019,23,16920
90081,2019,196,16920
90450,2019,477,16920
90447,2019,697,16920
90057,2019,217,16920
90246,2019,48,16920
90009,2019,36,16920
90588,2019,67,16920
90696,2019,8,16920
90255,2019,14,16920
90432,2019,655,16920
90720,2019,124,16920
90249,2019,10,16920
90678,2019,144,16920
90003,2019,12,16920
90006,2019,58,16920
90711,2019,18,16920
90273,2019,44,16920
90279,2019,53,16920
90240,2019,19,16920
90270,2019,13,16920
90714,2019,2,16920
90267,2019,11,16920
90258,2019,196,16920
90348,2019,1,16920
90687,2019,49,16920
90021,2019,61,16920
90507,2019,10,16920
90516,2019,12,16920
90012,2019,53,16920
90513,2019,17,16920
90018,2019,112,16920
90510,2019,20,16920
90276,2019,22,16920
90234,2019,60,16920
90738,2019,8,16920
90093,2019,31,16920
90231,2019,21,16920
90342,2019,78,16920
90498,2019,66,16920
90723,2019,14,16920
90024,2019,27,16920
90264,2019,23,16920
90423,2019,455,16920
90693,2019,10,16920
90096,2019,296,16920
90354,2019,12,16920
90351,2019,20,16920
90729,2019,34,16920
90261,2019,57,16920
90489,2019,322,16920
90000,2019,29,16920
90621,2019,195,16920
90228,2019,45,16920
90726,2019,11,16920
90237,2019,17,16920
90690,2019,13,16920
90717,2019,6,16920
90357,2019,17,16920
90735,2019,46,16920
90504,2019,21,16920
90684,2019,26,16920
90675,2019,61,16920
90744,2019,4,16920
90732,2019,7,16920
90747,2019,3,16920
90027,2019,18,16920
90741,2019,0,16920
90438,2020,123,16920
90192,2020,447,16920
90225,2020,40,16920
90045,2020,120,16920
90579,2020,377,16920
90471,2020,394,16920
90222,2020,41,16920
90681,2020,19,16920
90699,2020,143,16920
90597,2020,106,16920
90030,2020,143,16920
90243,2020,42,16920
90078,2020,188,16920
90474,2020,100,16920
90318,2020,198,16920
90519,2020,174,16920
90282,2020,50,16920
90327,2020,34,16920
90156,2020,668,16920
90480,2020,68,16920
90576,2020,867,16920
90141,2020,576,16920
90429,2020,214,16920
90522,2020,348,16920
90615,2020,451,16920
90525,2020,510,16920
90075,2020,67,16920
90015,2020,94,16920
90633,2020,83,16920
90642,2020,201,16920
90468,2020,341,16920
90330,2020,115,16920
90501,2020,23,16920
90420,2020,233,16920
90201,2020,84,16920
90528,2020,729,16920
90084,2020,45,16920
90051,2020,143,16920
90702,2020,41,16920
90456,2020,210,16920
90060,2020,21,16920
90462,2020,85,16920
90339,2020,29,16920
90393,2020,20,16920
90207,2020,163,16920
90087,2020,21,16920
90531,2020,50,16920
90360,2020,437,16920
90363,2020,351,16920
90387,2020,21,16920
90036,2020,116,16920
90645,2020,41,16920
90591,2020,467,16920
90165,2020,935,16920
90435,2020,547,16920
90366,2020,29,16920
90534,2020,1057,16920
90654,2020,48,16920
90297,2020,105,16920
90660,2020,5,16920
90336,2020,138,16920
90609,2020,373,16920
90177,2020,638,16920
90303,2020,229,16920
90048,2020,323,16920
90459,2020,139,16920
90120,2020,17,16920
90651,2020,37,16920
90600,2020,271,16920
90144,2020,99,16920
90063,2020,248,16920
90108,2020,164,16920
90537,2020,67,16920
90198,2020,216,16920
90540,2020,481,16920
90111,2020,656,16920
90171,2020,764,16920
90312,2020,106,16920
90411,2020,208,16920
90135,2020,60,16920
90180,2020,249,16920
90072,2020,145,16920
90483,2020,48,16920
90369,2020,46,16920
90372,2020,62,16920
90582,2020,119,16920
90627,2020,355,16920
90495,2020,59,16920
90117,2020,189,16920
90033,2020,133,16920
90639,2020,244,16920
90417,2020,102,16920
90375,2020,102,16920
90543,2020,297,16920
90288,2020,32,16920
90546,2020,305,16920
90549,2020,905,16920
90066,2020,98,16920
90672,2020,197,16920
90105,2020,43,16920
90324,2020,341,16920
90405,2020,64,16920
90606,2020,643,16920
90054,2020,69,16920
90213,2020,73,16920
90252,2020,67,16920
90636,2020,125,16920
90219,2020,47,16920
90210,2020,266,16920
90612,2020,348,16920
90492,2020,49,16920
90585,2020,698,16920
90102,2020,52,16920
90114,2020,139,16920
90126,2020,33,16920
90204,2020,103,16920
90552,2020,115,16920
90132,2020,310,16920
90159,2020,87,16920
90414,2020,37,16920
90465,2020,543,16920
90666,2020,52,16920
90390,2020,170,16920
90321,2020,135,16920
90306,2020,130,16920
90162,2020,187,16920
90168,2020,232,16920
90183,2020,204,16920
90555,2020,250,16920
90648,2020,33,16920
90216,2020,23,16920
90630,2020,489,16920
90657,2020,182,16920
90408,2020,438,16920
90558,2020,907,16920
90129,2020,456,16920
90396,2020,206,16920
90186,2020,1832,16920
90138,2020,26,16920
90444,2020,637,16920
90486,2020,274,16920
90561,2020,138,16920
90099,2020,43,16920
90123,2020,185,16920
90147,2020,452,16920
90174,2020,22,16920
90564,2020,964,16920
90624,2020,240,16920
90039,2020,677,16920
90453,2020,683,16920
90294,2020,54,16920
90285,2020,79,16920
90567,2020,196,16920
90195,2020,234,16920
90315,2020,286,16920
90441,2020,653,16920
90090,2020,819,16920
90402,2020,111,16920
90603,2020,537,16920
90345,2020,49,16920
90477,2020,203,16920
90378,2020,271,16920
90300,2020,221,16920
90153,2020,3202,16920
90663,2020,19,16920
90399,2020,494,16920
90150,2020,81,16920
90381,2020,425,16920
90042,2020,103,16920
90333,2020,23,16920
90570,2020,1118,16920
90309,2020,945,16920
90291,2020,198,16920
90705,2020,12,16920
90708,2020,79,16920
90069,2020,203,16920
90594,2020,291,16920
90426,2020,155,16920
90669,2020,26,16920
90573,2020,133,16920
90189,2020,132,16920
90618,2020,90,16920
90384,2020,33,16920
90081,2020,213,16920
90450,2020,623,16920
90447,2020,865,16920
90057,2020,240,16920
90246,2020,34,16920
90009,2020,21,16920
90588,2020,61,16920
90696,2020,3,16920
90255,2020,10,16920
90432,2020,807,16920
90720,2020,112,16920
90249,2020,4,16920
90678,2020,150,16920
90003,2020,8,16920
90006,2020,50,16920
90711,2020,26,16920
90273,2020,30,16920
90279,2020,43,16920
90240,2020,11,16920
90270,2020,12,16920
90714,2020,1,16920
90267,2020,13,16920
90258,2020,212,16920
90348,2020,2,16920
90687,2020,44,16920
90021,2020,62,16920
90507,2020,22,16920
90516,2020,9,16920
90012,2020,80,16920
90513,2020,18,16920
90018,2020,109,16920
90510,2020,23,16920
90276,2020,12,16920
90234,2020,66,16920
90738,2020,11,16920
90093,2020,17,16920
90231,2020,21,16920
90342,2020,96,16920
90498,2020,64,16920
90723,2020,8,16920
90024,2020,32,16920
90264,2020,17,16920
90423,2020,517,16920
90693,2020,7,16920
90096,2020,334,16920
90354,2020,6,16920
90351,2020,32,16920
90729,2020,25,16920
90261,2020,59,16920
90489,2020,407,16920
90000,2020,29,16920
90621,2020,220,16920
90228,2020,30,16920
90726,2020,19,16920
90237,2020,16,16920
90690,2020,6,16920
90717,2020,9,16920
90357,2020,11,16920
90735,2020,30,16920
90504,2020,22,16920
90684,2020,23,16920
90675,2020,53,16920
90744,2020,1,16920
90732,2020,2,16920
90747,2020,10,16920
90027,2020,10,16920
90741,2020,1,16920
90438,2021,190,16920
90192,2021,578,16920
90225,2021,57,16920
90045,2021,110,16920
90579,2021,478,16920
90471,2021,470,16920
90222,2021,39,16920
90681,2021,26,16920
90699,2021,189,16920
90597,2021,117,16920
90030,2021,168,16920
90243,2021,52,16920
90078,2021,266,16920
90474,2021,138,16920
90318,2021,246,16920
90519,2021,261,16920
90282,2021,63,16920
90327,2021,30,16920
90156,2021,946,16920
