zip,year,ev_sales,total_sales
90705,2016,1,1015
90708,2016,6,1015
90069,2016,18,1015
90594,2016,29,1015
90426,2016,19,1015
90669,2016,3,1015
90573,2016,11,1015
90189,2016,13,1015
90618,2016,5,1015
90384,2016,5,1015
90081,2016,23,1015
90450,2016,59,1015
90447,2016,71,1015
90057,2016,41,1015
90246,2016,5,1015
90009,2016,3,1015
90588,2016,7,1015
90696,2016,2,1015
90255,2016,1,1015
90432,2016,71,1015
90720,2016,17,1015
90249,2016,1,1015
90678,2016,18,1015
90003,2016,2,1015
90006,2016,7,1015
90711,2016,4,1015
90273,2016,4,1015
90279,2016,4,1015
90240,2016,1,1015
90270,2016,1,1015
90714,2016,0,1015
90267,2016,4,1015
90258,2016,43,1015
90348,2016,0,1015
90687,2016,5,1015
90021,2016,8,1015
90507,2016,5,1015
90516,2016,0,1015
90012,2016,4,1015
90513,2016,0,1015
90018,2016,15,1015
90510,2016,3,1015
90276,2016,0,1015
90234,2016,8,1015
90738,2016,0,1015
90093,2016,5,1015
90231,2016,0,1015
90342,2016,5,1015
90498,2016,4,1015
90723,2016,3,1015
90024,2016,4,1015
90264,2016,1,1015
90423,2016,65,1015
90693,2016,2,1015
90096,2016,31,1015
90354,2016,0,1015
90351,2016,3,1015
90729,2016,4,1015
90261,2016,7,1015
90489,2016,45,1015
90000,2016,0,1015
90621,2016,19,1015
90228,2016,6,1015
90726,2016,0,1015
90237,2016,4,1015
90690,2016,0,1015
90717,2016,1,1015
90357,2016,3,1015
90735,2016,2,1015
90504,2016,1,1015
90684,2016,0,1015
90675,2016,7,1015
90744,2016,0,1015
90732,2016,0,1015
90747,2016,0,1015
90027,2016,4,1015
90741,2016,0,1015
90438,2017,16,1015
90192,2017,59,1015
90225,2017,6,1015
90045,2017,17,1015
90579,2017,56,1015
90471,2017,47,1015
90222,2017,5,1015
90681,2017,0,1015
90699,2017,19,1015
90597,2017,16,1015
90030,2017,25,1015
90243,2017,7,1015
90078,2017,34,1015
90474,2017,10,1015
90318,2017,38,1015
90519,2017,20,1015
90282,2017,9,1015
90327,2017,5,1015
90156,2017,86,1015
90480,2017,7,1015
90576,2017,140,1015
90141,2017,63,1015
90429,2017,29,1015
90522,2017,64,1015
90615,2017,80,1015
90525,2017,80,1015
90075,2017,12,1015
90015,2017,10,1015
90633,2017,12,1015
90642,2017,17,1015
90468,2017,51,1015
90330,2017,18,1015
90501,2017,2,1015
90420,2017,36,1015
90201,2017,8,1015
90528,2017,113,1015
90084,2017,4,1015
90051,2017,22,1015
90702,2017,11,1015
90456,2017,34,1015
90060,2017,5,1015
90462,2017,16,1015
90339,2017,5,1015
90393,2017,1,1015
90207,2017,28,1015
90087,2017,4,1015
90531,2017,11,1015
90360,2017,62,1015
90363,2017,40,1015
90387,2017,4,1015
90036,2017,17,1015
90645,2017,7,1015
90591,2017,62,1015
90165,2017,116,1015
90435,2017,87,1015
90366,2017,3,1015
90534,2017,132,1015
90654,2017,8,1015
90297,2017,19,1015
90660,2017,3,1015
90336,2017,18,1015
90609,2017,50,1015
90177,2017,119,1015
90303,2017,36,1015
90048,2017,54,1015
90459,2017,14,1015
90120,2017,1,1015
90651,2017,5,1015
90600,2017,53,1015
90144,2017,16,1015
90063,2017,37,1015
90108,2017,36,1015
90537,2017,4,1015
90198,2017,28,1015
90540,2017,87,1015
90111,2017,103,1015
90171,2017,88,1015
90312,2017,16,1015
90411,2017,34,1015
90135,2017,6,1015
90180,2017,33,1015
90072,2017,24,1015
90483,2017,5,1015
90369,2017,4,1015
90372,2017,14,1015
90582,2017,18,1015
90627,2017,55,1015
90495,2017,12,1015
90117,2017,21,1015
90033,2017,24,1015
90639,2017,33,1015
90417,2017,17,1015
90375,2017,15,1015
90543,2017,58,1015
90288,2017,3,1015
90546,2017,38,1015
90549,2017,164,1015
90066,2017,17,1015
90672,2017,29,1015
90105,2017,12,1015
90324,2017,48,1015
90405,2017,9,1015
90606,2017,77,1015
90054,2017,11,1015
90213,2017,10,1015
90252,2017,8,1015
90636,2017,27,1015
90219,2017,8,1015
90210,2017,39,1015
90612,2017,47,1015
90492,2017,10,1015
90585,2017,102,1015
90102,2017,7,1015
90114,2017,14,1015
90126,2017,3,1015
90204,2017,13,1015
90552,2017,23,1015
90132,2017,42,1015
90159,2017,13,1015
90414,2017,5,1015
90465,2017,79,1015
90666,2017,5,1015
90390,2017,32,1015
90321,2017,32,1015
90306,2017,25,1015
90162,2017,29,1015
90168,2017,41,1015
90183,2017,29,1015
90555,2017,46,1015
90648,2017,3,1015
90216,2017,1,1015
90630,2017,88,1015
90657,2017,27,1015
90408,2017,59,1015
90558,2017,126,1015
90129,2017,73,1015
90396,2017,28,1015
90186,2017,252,1015
90138,2017,1,1015
90444,2017,90,1015
90486,2017,29,1015
90561,2017,22,1015
90099,2017,9,1015
90123,2017,28,1015
90147,2017,65,1015
90174,2017,1,1015
90564,2017,127,1015
90624,2017,24,1015
90039,2017,106,1015
90453,2017,125,1015
90294,2017,11,1015
90285,2017,16,1015
90567,2017,27,1015
90195,2017,32,1015
90315,2017,35,1015
90441,2017,72,1015
90090,2017,120,1015
90402,2017,16,1015
90603,2017,78,1015
90345,2017,5,1015
90477,2017,32,1015
90378,2017,28,1015
90300,2017,32,1015
90153,2017,359,1015
90663,2017,1,1015
90399,2017,88,1015
90150,2017,9,1015
90381,2017,60,1015
90042,2017,11,1015
90333,2017,2,1015
90570,2017,196,1015
90309,2017,137,1015
90291,2017,28,1015
90705,2017,0,1015
90708,2017,6,1015
90069,2017,25,1015
90594,2017,30,1015
90426,2017,31,1015
90669,2017,2,1015
90573,2017,16,1015
90189,2017,17,1015
90618,2017,12,1015
90384,2017,6,1015
90081,2017,42,1015
90450,2017,97,1015
90447,2017,111,1015
90057,2017,50,1015
90246,2017,5,1015
90009,2017,2,1015
90588,2017,5,1015
90696,2017,1,1015
90255,2017,0,1015
90432,2017,126,1015
90720,2017,16,1015
90249,2017,1,1015
90678,2017,22,1015
90003,2017,0,1015
90006,2017,11,1015
90711,2017,2,1015
90273,2017,5,1015
90279,2017,11,1015
90240,2017,3,1015
90270,2017,3,1015
90714,2017,0,1015
90267,2017,3,1015
90258,2017,40,1015
90348,2017,0,1015
90687,2017,8,1015
90021,2017,7,1015
90507,2017,3,1015
90516,2017,1,1015
90012,2017,19,1015
90513,2017,0,1015
90018,2017,18,1015
90510,2017,5,1015
90276,2017,1,1015
90234,2017,11,1015
90738,2017,0,1015
90093,2017,3,1015
90231,2017,2,1015
90342,2017,13,1015
90498,2017,5,1015
90723,2017,2,1015
90024,2017,2,1015
90264,2017,3,1015
90423,2017,89,1015
90693,2017,1,1015
90096,2017,45,1015
90354,2017,1,1015
90351,2017,1,1015
90729,2017,7,1015
90261,2017,11,1015
90489,2017,72,1015
90000,2017,5,1015
90621,2017,30,1015
90228,2017,5,1015
90726,2017,0,1015
90237,2017,6,1015
90690,2017,0,1015
90717,2017,2,1015
90357,2017,2,1015
90735,2017,2,1015
90504,2017,2,1015
90684,2017,3,1015
90675,2017,4,1015
90744,2017,0,1015
90732,2017,0,1015
90747,2017,1,1015
90027,2017,2,1015
90741,2017,0,1015
90438,2018,31,1015
90192,2018,110,1015
90225,2018,8,1015
90045,2018,18,1015
90579,2018,84,1015
90471,2018,83,1015
90222,2018,7,1015
90681,2018,4,1015
90699,2018,34,1015
90597,2018,29,1015
90030,2018,28,1015
90243,2018,10,1015
90078,2018,38,1015
90474,2018,24,1015
90318,2018,35,1015
90519,2018,36,1015
90282,2018,7,1015
90327,2018,8,1015
90156,2018,157,1015
90480,2018,18,1015
90576,2018,207,1015
90141,2018,153,1015
90429,2018,52,1015
90522,2018,80,1015
90615,2018,130,1015
90525,2018,156,1015
90075,2018,24,1015
90015,2018,18,1015
90633,2018,17,1015
90642,2018,37,1015
90468,2018,80,1015
90330,2018,21,1015
90501,2018,3,1015
90420,2018,52,1015
90201,2018,18,1015
90528,2018,157,1015
90084,2018,19,1015
90051,2018,32,1015
90702,2018,4,1015
90456,2018,49,1015
90060,2018,1,1015
90462,2018,22,1015
90339,2018,7,1015
90393,2018,1,1015
90207,2018,34,1015
90087,2018,5,1015
90531,2018,5,1015
90360,2018,100,1015
90363,2018,80,1015
90387,2018,1,1015
90036,2018,24,1015
90645,2018,8,1015
90591,2018,105,1015
90165,2018,210,1015
90435,2018,142,1015
90366,2018,5,1015
90534,2018,229,1015
90654,2018,10,1015
90297,2018,33,1015
90660,2018,4,1015
90336,2018,22,1015
90609,2018,90,1015
90177,2018,190,1015
90303,2018,55,1015
90048,2018,72,1015
90459,2018,18,1015
90120,2018,0,1015
90651,2018,3,1015
90600,2018,66,1015
90144,2018,18,1015
90063,2018,50,1015
90108,2018,37,1015
90537,2018,12,1015
90198,2018,46,1015
90540,2018,137,1015
90111,2018,162,1015
90171,2018,187,1015
90312,2018,16,1015
90411,2018,45,1015
90135,2018,11,1015
90180,2018,58,1015
90072,2018,28,1015
90483,2018,7,1015
90369,2018,9,1015
90372,2018,13,1015
90582,2018,19,1015
90627,2018,70,1015
90495,2018,14,1015
90117,2018,36,1015
90033,2018,36,1015
90639,2018,56,1015
90417,2018,30,1015
90375,2018,28,1015
90543,2018,93,1015
90288,2018,4,1015
90546,2018,50,1015
90549,2018,232,1015
90066,2018,18,1015
90672,2018,39,1015
90105,2018,10,1015
90324,2018,82,1015
90405,2018,19,1015
90606,2018,129,1015
90054,2018,16,1015
90213,2018,22,1015
90252,2018,12,1015
90636,2018,24,1015
90219,2018,6,1015
90210,2018,63,1015
90612,2018,84,1015
90492,2018,14,1015
90585,2018,189,1015
90102,2018,8,1015
90114,2018,17,1015
90126,2018,6,1015
90204,2018,23,1015
90552,2018,26,1015
90132,2018,68,1015
90159,2018,19,1015
90414,2018,7,1015
90465,2018,128,1015
90666,2018,8,1015
90390,2018,22,1015
90321,2018,30,1015
90306,2018,19,1015
90162,2018,34,1015
90168,2018,61,1015
90183,2018,41,1015
90555,2018,60,1015
90648,2018,6,1015
90216,2018,3,1015
90630,2018,123,1015
90657,2018,33,1015
90408,2018,106,1015
90558,2018,219,1015
90129,2018,124,1015
90396,2018,36,1015
90186,2018,417,1015
90138,2018,6,1015
90444,2018,162,1015
90486,2018,55,1015
90561,2018,29,1015
90099,2018,5,1015
90123,2018,51,1015
90147,2018,114,1015
90174,2018,5,1015
90564,2018,225,1015
90624,2018,44,1015
90039,2018,174,1015
90453,2018,185,1015
90294,2018,7,1015
90285,2018,15,1015
90567,2018,53,1015
90195,2018,47,1015
90315,2018,66,1015
90441,2018,135,1015
90090,2018,213,1015
90402,2018,21,1015
90603,2018,112,1015
90345,2018,5,1015
90477,2018,54,1015
90378,2018,61,1015
90300,2018,48,1015
90153,2018,548,1015
90663,2018,2,1015
90399,2018,131,1015
90150,2018,13,1015
90381,2018,97,1015
90042,2018,18,1015
90333,2018,4,1015
90570,2018,271,1015
90309,2018,254,1015
90291,2018,40,1015
90705,2018,1,1015
90708,2018,11,1015
90069,2018,38,1015
90594,2018,60,1015
90426,2018,40,1015
90669,2018,3,1015
90573,2018,31,1015
90189,2018,17,1015
90618,2018,14,1015
90384,2018,8,1015
90081,2018,52,1015
90450,2018,165,1015
90447,2018,181,1015
90057,2018,79,1015
90246,2018,6,1015
90009,2018,2,1015
90588,2018,13,1015
90696,2018,1,1015
90255,2018,0,1015
90432,2018,208,1015
90720,2018,26,1015
90249,2018,0,1015
90678,2018,39,1015
90003,2018,3,1015
90006,2018,12,1015
90711,2018,3,1015
90273,2018,6,1015
90279,2018,8,1015
90240,2018,0,1015
90270,2018,3,1015
90714,2018,0,1015
90267,2018,1,1015
90258,2018,67,1015
90348,2018,0,1015
90687,2018,8,1015
90021,2018,9,1015
90507,2018,3,1015
90516,2018,0,1015
90012,2018,22,1015
90513,2018,3,1015
90018,2018,30,1015
90510,2018,6,1015
90276,2018,3,1015
90234,2018,10,1015
90738,2018,0,1015
90093,2018,1,1015
90231,2018,6,1015
90342,2018,24,1015
90498,2018,8,1015
90723,2018,3,1015
90024,2018,6,1015
90264,2018,2,1015
90423,2018,143,1015
90693,2018,1,1015
90096,2018,86,1015
90354,2018,1,1015
90351,2018,6,1015
90729,2018,7,1015
90261,2018,14,1015
90489,2018,112,1015
90000,2018,4,1015
90621,2018,53,1015
90228,2018,6,1015
90726,2018,4,1015
90237,2018,1,1015
90690,2018,2,1015
90717,2018,0,1015
90357,2018,4,1015
90735,2018,7,1015
90504,2018,0,1015
90684,2018,5,1015
90675,2018,6,1015
90744,2018,0,1015
90732,2018,1,1015
90747,2018,0,1015
90027,2018,5,1015
90741,2018,0,1015
90438,2019,28,1015
90192,2019,104,1015
90225,2019,5,1015
90045,2019,18,1015
90579,2019,94,1015
90471,2019,101,1015
90222,2019,7,1015
90681,2019,3,1015
90699,2019,22,1015
90597,2019,21,1015
90030,2019,28,1015
90243,2019,7,1015
90078,2019,46,1015
90474,2019,22,1015
90318,2019,37,1015
90519,2019,55,1015
90282,2019,5,1015
90327,2019,4,1015
90156,2019,174,1015
90480,2019,9,1015
90576,2019,231,1015
90141,2019,154,1015
90429,2019,53,1015
90522,2019,61,1015
90615,2019,135,1015
90525,2019,132,1015
90075,2019,12,1015
90015,2019,13,1015
90633,2019,21,1015
90642,2019,44,1015
90468,2019,64,1015
90330,2019,22,1015
90501,2019,2,1015
90420,2019,49,1015
90201,2019,21,1015
90528,2019,195,1015
90084,2019,8,1015
90051,2019,37,1015
90702,2019,7,1015
90456,2019,46,1015
90060,2019,7,1015
90462,2019,20,1015
90339,2019,4,1015
90393,2019,1,1015
90207,2019,32,1015
90087,2019,2,1015
90531,2019,4,1015
90360,2019,120,1015
90363,2019,76,1015
90387,2019,3,1015
90036,2019,14,1015
90645,2019,4,1015
90591,2019,132,1015
90165,2019,241,1015
90435,2019,151,1015
90366,2019,0,1015
90534,2019,289,1015
90654,2019,9,1015
90297,2019,19,1015
90660,2019,2,1015
90336,2019,19,1015
90609,2019,86,1015
90177,2019,204,1015
90303,2019,47,1015
90048,2019,78,1015
90459,2019,28,1015
90120,2019,0,1015
90651,2019,6,1015
90600,2019,64,1015
90144,2019,33,1015
90063,2019,57,1015
90108,2019,32,1015
90537,2019,8,1015
90198,2019,46,1015
90540,2019,147,1015
90111,2019,174,1015
90171,2019,199,1015
90312,2019,27,1015
90411,2019,50,1015
90135,2019,13,1015
90180,2019,57,1015
90072,2019,36,1015
90483,2019,2,1015
90369,2019,9,1015
90372,2019,7,1015
90582,2019,31,1015
90627,2019,87,1015
90495,2019,11,1015
90117,2019,42,1015
90033,2019,23,1015
90639,2019,62,1015
90417,2019,19,1015
90375,2019,22,1015
90543,2019,70,1015
90288,2019,5,1015
90546,2019,58,1015
90549,2019,270,1015
90066,2019,24,1015
90672,2019,54,1015
90105,2019,10,1015
90324,2019,74,1015
90405,2019,15,1015
90606,2019,158,1015
90054,2019,16,1015
90213,2019,17,1015
90252,2019,9,1015
90636,2019,24,1015
90219,2019,9,1015
90210,2019,62,1015
90612,2019,85,1015
90492,2019,17,1015
90585,2019,202,1015
90102,2019,6,1015
90114,2019,27,1015
90126,2019,1,1015
90204,2019,17,1015
90552,2019,28,1015
90132,2019,70,1015
90159,2019,11,1015
90414,2019,9,1015
90465,2019,148,1015
90666,2019,7,1015
90390,2019,31,1015
90321,2019,22,1015
90306,2019,31,1015
90162,2019,45,1015
90168,2019,56,1015
90183,2019,50,1015
90555,2019,53,1015
90648,2019,3,1015
90216,2019,1,1015
90630,2019,146,1015
90657,2019,39,1015
90408,2019,111,1015
90558,2019,226,1015
90129,2019,129,1015
90396,2019,45,1015
90186,2019,479,1015
90138,2019,3,1015
90444,2019,169,1015
90486,2019,59,1015
90561,2019,23,1015
90099,2019,7,1015
90123,2019,42,1015
90147,2019,109,1015
90174,2019,2,1015
90564,2019,266,1015
90624,2019,48,1015
90039,2019,212,1015
90453,2019,184,1015
90294,2019,10,1015
90285,2019,14,1015
90567,2019,48,1015
90195,2019,51,1015
90315,2019,67,1015
90441,2019,178,1015
90090,2019,237,1015
90402,2019,19,1015
90603,2019,136,1015
90345,2019,8,1015
90477,2019,50,1015
90378,2019,56,1015
90300,2019,34,1015
90153,2019,652,1015
90663,2019,4,1015
90399,2019,120,1015
90150,2019,11,1015
90381,2019,101,1015
90042,2019,24,1015
90333,2019,6,1015
90570,2019,298,1015
90309,2019,274,1015
90291,2019,43,1015
90705,2019,0,1015
90708,2019,8,1015
90069,2019,32,1015
90594,2019,68,1015
90426,2019,31,1015
90669,2019,2,1015
90573,2019,24,1015
90189,2019,31,1015
90618,2019,15,1015
90384,2019,1,1015
90081,2019,52,1015
90450,2019,177,1015
90447,2019,249,1015
90057,2019,67,1015
90246,2019,5,1015
90009,2019,3,1015
90588,2019,15,1015
90696,2019,4,1015
90255,2019,0,1015
90432,2019,243,1015
90720,2019,27,1015
90249,2019,3,1015
90678,2019,35,1015
90003,2019,1,1015
90006,2019,9,1015
90711,2019,7,1015
90273,2019,7,1015
90279,2019,6,1015
90240,2019,2,1015
90270,2019,0,1015
90714,2019,0,1015
90267,2019,2,1015
90258,2019,53,1015
90348,2019,0,1015
90687,2019,9,1015
90021,2019,13,1015
90507,2019,2,1015
90516,2019,1,1015
90012,2019,9,1015
90513,2019,1,1015
90018,2019,16,1015
90510,2019,2,1015
90276,2019,1,1015
90234,2019,10,1015
90738,2019,2,1015
90093,2019,3,1015
90231,2019,2,1015
90342,2019,19,1015
90498,2019,14,1015
90723,2019,2,1015
90024,2019,8,1015
90264,2019,3,1015
90423,2019,126,1015
90693,2019,1,1015
90096,2019,87,1015
90354,2019,2,1015
90351,2019,2,1015
90729,2019,5,1015
90261,2019,5,1015
90489,2019,103,1015
90000,2019,2,1015
90621,2019,57,1015
90228,2019,3,1015
90726,2019,1,1015
90237,2019,1,1015
90690,2019,2,1015
90717,2019,1,1015
90357,2019,1,1015
90735,2019,7,1015
90504,2019,3,1015
90684,2019,2,1015
90675,2019,11,1015
90744,2019,0,1015
90732,2019,0,1015
90747,2019,0,1015
90027,2019,4,1015
90741,2019,0,1015
90438,2020,34,1015
90192,2020,121,1015
90225,2020,7,1015
90045,2020,22,1015
90579,2020,105,1015
90471,2020,112,1015
90222,2020,13,1015
90681,2020,2,1015
90699,2020,23,1015
90597,2020,16,1015
90030,2020,34,1015
90243,2020,3,1015
90078,2020,44,1015
90474,2020,15,1015
90318,2020,36,1015
90519,2020,41,1015
90282,2020,3,1015
90327,2020,4,1015
90156,2020,177,1015
90480,2020,20,1015
90576,2020,263,1015
90141,2020,154,1015
90429,2020,58,1015
90522,2020,77,1015
90615,2020,141,1015
90525,2020,162,1015
90075,2020,10,1015
90015,2020,18,1015
90633,2020,9,1015
90642,2020,38,1015
90468,2020,86,1015
90330,2020,22,1015
90501,2020,5,1015
90420,2020,52,1015
90201,2020,23,1015
90528,2020,216,1015
90084,2020,7,1015
90051,2020,32,1015
90702,2020,5,1015
90456,2020,37,1015
90060,2020,7,1015
90462,2020,19,1015
90339,2020,3,1015
90393,2020,0,1015
90207,2020,37,1015
90087,2020,2,1015
90531,2020,10,1015
90360,2020,120,1015
90363,2020,102,1015
90387,2020,1,1015
90036,2020,18,1015
90645,2020,4,1015
90591,2020,160,1015
90165,2020,266,1015
90435,2020,157,1015
90366,2020,2,1015
90534,2020,336,1015
90654,2020,2,1015
90297,2020,20,1015
90660,2020,0,1015
90336,2020,21,1015
90609,2020,98,1015
90177,2020,228,1015
90303,2020,67,1015
90048,2020,80,1015
90459,2020,23,1015
90120,2020,5,1015
90651,2020,4,1015
90600,2020,69,1015
90144,2020,25,1015
90063,2020,57,1015
90108,2020,30,1015
90537,2020,8,1015
90198,2020,37,1015
90540,2020,164,1015
90111,2020,197,1015
90171,2020,251,1015
90312,2020,21,1015
90411,2020,64,1015
90135,2020,8,1015
90180,2020,56,1015
90072,2020,25,1015
90483,2020,10,1015
90369,2020,7,1015
90372,2020,14,1015
90582,2020,29,1015
90627,2020,127,1015
90495,2020,14,1015
90117,2020,33,1015
90033,2020,30,1015
90639,2020,69,1015
90417,2020,21,1015
90375,2020,15,1015
90543,2020,95,1015
90288,2020,2,1015
90546,2020,71,1015
90549,2020,278,1015
90066,2020,15,1015
90672,2020,48,1015
90105,2020,15,1015
90324,2020,90,1015
90405,2020,8,1015
90606,2020,167,1015
90054,2020,20,1015
90213,2020,14,1015
90252,2020,9,1015
90636,2020,30,1015
90219,2020,5,1015
90210,2020,53,1015
90612,2020,84,1015
90492,2020,10,1015
90585,2020,204,1015
90102,2020,12,1015
90114,2020,23,1015
90126,2020,3,1015
90204,2020,26,1015
90552,2020,27,1015
90132,2020,77,1015
90159,2020,12,1015
90414,2020,4,1015
90465,2020,160,1015
90666,2020,11,1015
90390,2020,47,1015
90321,2020,21,1015
90306,2020,27,1015
90162,2020,44,1015
90168,2020,51,1015
90183,2020,50,1015
90555,2020,56,1015
90648,2020,4,1015
90216,2020,3,1015
90630,2020,144,1015
90657,2020,39,1015
90408,2020,107,1015
90558,2020,302,1015
90129,2020,141,1015
90396,2020,38,1015
90186,2020,536,1015
90138,2020,3,1015
90444,2020,201,1015
90486,2020,61,1015
90561,2020,26,1015
90099,2020,6,1015
90123,2020,48,1015
90147,2020,118,1015
90174,2020,1,1015
90564,2020,283,1015
90624,2020,52,1015
90039,2020,205,1015
90453,2020,231,1015
90294,2020,7,1015
90285,2020,19,1015
90567,2020,45,1015
90195,2020,56,1015
90315,2020,63,1015
90441,2020,197,1015
90090,2020,267,1015
90402,2020,20,1015
90603,2020,173,1015
90345,2020,12,1015
90477,2020,51,1015
90378,2020,67,1015
90300,2020,65,1015
90153,2020,726,1015
90663,2020,6,1015
90399,2020,160,1015
90150,2020,9,1015
90381,2020,127,1015
90042,2020,22,1015
90333,2020,4,1015
90570,2020,352,1015
90309,2020,309,1015
90291,2020,21,1015
90705,2020,2,1015
90708,2020,8,1015
90069,2020,47,1015
90594,2020,62,1015
90426,2020,41,1015
90669,2020,1,1015
90573,2020,25,1015
90189,2020,28,1015
90618,2020,14,1015
90384,2020,2,1015
90081,2020,66,1015
90450,2020,177,1015
90447,2020,262,1015
90057,2020,68,1015
90246,2020,9,1015
90009,2020,2,1015
90588,2020,10,1015
90696,2020,0,1015
90255,2020,0,1015
90432,2020,266,1015
90720,2020,35,1015
90249,2020,0,1015
90678,2020,30,1015
90003,2020,1,1015
90006,2020,11,1015
90711,2020,7,1015
90273,2020,2,1015
90279,2020,6,1015
90240,2020,2,1015
90270,2020,2,1015
90714,2020,0,1015
90267,2020,0,1015
90258,2020,60,1015
90348,2020,0,1015
90687,2020,9,1015
90021,2020,18,1015
90507,2020,1,1015
90516,2020,0,1015
90012,2020,17,1015
90513,2020,1,1015
90018,2020,16,1015
90510,2020,1,1015
90276,2020,1,1015
90234,2020,16,1015
90738,2020,0,1015
90093,2020,2,1015
90231,2020,3,1015
90342,2020,16,1015
90498,2020,9,1015
90723,2020,1,1015
90024,2020,1,1015
90264,2020,3,1015
90423,2020,137,1015
90693,2020,0,1015
90096,2020,112,1015
90354,2020,1,1015
90351,2020,5,1015
90729,2020,3,1015
90261,2020,11,1015
90489,2020,115,1015
90000,2020,8,1015
90621,2020,62,1015
90228,2020,4,1015
90726,2020,3,1015
90237,2020,2,1015
90690,2020,0,1015
90717,2020,0,1015
90357,2020,3,1015
90735,2020,2,1015
90504,2020,5,1015
90684,2020,3,1015
90675,2020,5,1015
90744,2020,0,1015
90732,2020,0,1015
90747,2020,0,1015
90027,2020,0,1015
90741,2020,0,1015
90438,2021,44,1015
90192,2021,197,1015
90225,2021,6,1015
90045,2021,45,1015
90579,2021,178,1015
90471,2021,196,1015
90222,2021,10,1015
90681,2021,1,1015
90699,2021,40,1015
90597,2021,35,1015
90030,2021,50,1015
90243,2021,12,1015
90078,2021,82,1015
90474,2021,35,1015
90318,2021,105,1015
90519,2021,79,1015
90282,2021,9,1015
90327,2021,8,1015
90156,2021,355,1015
